iter	Passed	Remaining
403	12310	3351
404	12335	3320
405	12362	3288
406	12386	3256
407	12411	3224
408	12429	3190
409	12454	3159
410	12482	3128
411	12510	3097
412	12538	3066
413	12565	3035
414	12592	3003
415	12617	2972
416	12637	2939
417	12677	2911
418	12711	2881
419	12748	2853
420	12824	2832
421	12906	2813
422	12988	2794
423	13068	2773
424	13119	2747
425	13167	2720
426	13209	2691
427	13256	2663
428	13301	2635
429	13354	2608
430	13404	2581
431	13450	2553
432	13587	2541
433	13716	2528
434	13766	2500
435	13810	2470
436	13861	2442
437	13929	2416
438	14006	2392
439	14090	2369
440	14134	2339
441	14183	2310
442	14230	2280
443	14280	2251
444	14329	2221
445	14384	2193
446	14436	2163
447	14486	2134
448	14544	2105
449	14582	2074
450	14623	2042
451	14668	2012
452	14713	1981
453	14757	1950
454	14808	1920
455	14858	1889
456	14908	1859
457	14958	1829
458	15002	1797
459	15049	1766
460	15121	1738
461	15187	1709
462	15266	1681
463	15344	1653
464	15397	1622
465	15458	1592
466	15490	1559
467	15539	1527
468	15584	1495
469	15639	1464
470	15687	1432
471	15736	1400
472	15782	1368
473	15836	1336
474	15891	1304
475	15942	1272
476	15984	1239
477	16028	1207
478	16075	1174
479	16128	1142
480	16182	1110
481	16228	1077
482	16279	1044
483	16326	1011
484	16376	979
485	16419	946
486	16481	913
487	16515	879
488	16559	846
489	16609	813
490	16663	780
491	16714	747
492	16768	714
493	16811	680
494	16861	647
495	16906	613
496	16943	579
497	16989	545
498	17037	512
499	17101	478
500	17153	445
501	17187	410
502	17226	376
503	17271	342
504	17329	308
505	17378	274
506	17421	240
507	17468	206
508	17520	172
509	17568	137
510	17617	103
511	17667	69
512	17715	34
513	17767	0
