iter	Logloss
417	0.3757484062
418	0.37555426
419	0.3752866702
420	0.3751778588
421	0.3751761162
422	0.3749818343
423	0.3747459259
424	0.3745591228
425	0.3742859109
426	0.3741549848
427	0.374152132
428	0.3739508769
429	0.3737542107
430	0.3737100298
431	0.3735903848
432	0.3733699625
433	0.3732018844
434	0.3730336149
435	0.3730323486
436	0.3728370895
437	0.3728360386
438	0.3726228174
439	0.3724133903
440	0.3724123482
441	0.3723597456
442	0.372358537
443	0.3722266333
444	0.3720240251
445	0.3717762688
446	0.3716245097
447	0.3715340114
448	0.3713551954
449	0.3711891909
450	0.3708882971
451	0.3706349492
452	0.3706019141
453	0.3703648417
454	0.3701069245
455	0.3699025051
456	0.3695727171
457	0.3693870631
458	0.3692440279
459	0.368913506
460	0.3687419376
461	0.368510654
462	0.3683374822
463	0.3681294486
464	0.3681284361
465	0.3681274629
466	0.3678017525
467	0.3677992129
468	0.3675098086
469	0.3671632837
470	0.3669936717
471	0.3667346645
472	0.3666560415
473	0.3665590206
474	0.3662659193
475	0.3661114454
476	0.3659744729
477	0.3659141997
478	0.3657348868
479	0.3653607829
480	0.3651059073
481	0.3648896894
482	0.3648191409
483	0.364663417
484	0.3645366595
485	0.3642627961
486	0.3642056985
487	0.3640988944
488	0.3639246421
489	0.3639237452
490	0.3639039761
491	0.3635868932
492	0.3634987372
493	0.3632504983
494	0.3630920862
495	0.3629465875
496	0.3626277169
497	0.3624942479
498	0.3624933898
499	0.3623800796
500	0.3622029566
501	0.3619963762
502	0.3618428861
503	0.3618410748
504	0.3616020506
505	0.3613906977
506	0.3612762245
507	0.3610586632
508	0.3610369679
509	0.360862594
510	0.3607387487
511	0.3604561116
512	0.3604549614
513	0.3603083592
514	0.3601531405
515	0.3598760147
516	0.3596673721
517	0.3593752584
518	0.3590750166
519	0.3589288185
520	0.3588263558
521	0.3586710168
522	0.3584980355
523	0.3583455753
524	0.3582665032
525	0.3580748269
526	0.3578997133
527	0.3577244386
528	0.3577224931
529	0.3574639017
530	0.3573326599
531	0.3573319508
532	0.3571721515
533	0.3567934515
534	0.3567155558
535	0.3564293583
536	0.3564282617
537	0.3562922822
538	0.3561349868
539	0.3560462529
540	0.3559930942
541	0.3558570175
542	0.355668519
543	0.3554796385
544	0.35535193
545	0.3551299103
546	0.355034529
547	0.3547655642
548	0.354562488
549	0.3544632462
550	0.3544077399
551	0.3542280786
552	0.3540202641
553	0.3538102397
554	0.3537305664
555	0.3534799571
556	0.3534757686
557	0.3533583946
558	0.3533548361
559	0.3532784118
560	0.3531098251
561	0.3528844695
562	0.3526944777
563	0.3524725251
564	0.3524719715
565	0.3523363963
566	0.3521241891
567	0.3520045843
568	0.3517538897
569	0.3515298177
570	0.3515289478
571	0.3515281828
572	0.3513417791
573	0.3512152078
574	0.3511233863
575	0.3509498546
576	0.3508305144
577	0.3505958902
578	0.3503234715
579	0.3501117156
580	0.3498603631
581	0.3496199502
582	0.3495139555
583	0.3494739358
584	0.349352255
585	0.3492827346
586	0.3491432532
587	0.3490560801
588	0.3488828055
589	0.3487535539
590	0.348563049
591	0.3484009363
592	0.348247923
593	0.3480936369
594	0.348069671
595	0.3480688282
596	0.3478120785
597	0.3477207253
598	0.3477199914
599	0.3475521491
